 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
Warum verkauft ein Hamburger Golfausrüster in seinem Geschäft Fischfutter?;Er verkauft Golfbälle aus gepresstem Plankton, mit denen auf Schiffen gespielt werden kann. Wenn sie ins Wasser geschossen werden, können Fische sie fressen und die Bälle sind keine Umweltbelastung.;
Warum verklagte 1989 eine Frau aus Darmstadt den deutschen Wetterdienst in Offenbach?;Sie war 77 und fühlte sich diffamiert, weil im Wetterbericht wieder vom „Altweibersommer“ gesprochen wurde. Es kam zum Prozess, bei dem der Wetterdienst in Offenbach gewann und nun weiter diese Formulierung verwenden darf.;
Warum verklagte 2010 ein Grieche eine schwedische Molkerei auf 5 Millionen Euro?;Er war jahrelang unwissentlich das Werbegesicht für türkischen Joghurt.;
Warum verlangte ein Baseball-Club aus North Carolina am 12. Juli 2016 $5 Eintritt, obwohl gar kein Spiel stattfand?;Viele der zu suchenden Pokemons des Handyspiels „Pokemon Go“ lagen auf dem Spielfeld. Daher hat der Club Eintritt für das Betreten des Spielfeldes verlangt.;
Warum verläuft der Blackwall-Tunnel unter der Londoner Themse in einer Schlangenlinie?;1825-1842 wurde dieser erste gebohrte Tunnel gebaut – damals fuhren dort nur Pferdefuhrwerke durch. Wenn Pferde das Licht am Ende des Tunnels sehen, würden sie sofort wild dorthin galoppieren. Um sie zu beruhigen, wurden Schlangenlinien gebaut.;
Warum verläuft in Toronto mitten durch ein McDonalds-Restaurant eine Wand?;Das McDonalds-Restaurant ist in einer U-Bahnstation. In Toronto muss man, wenn man bereits, wenn man in die U-Bahnstation eintritt, gleich zahlen. Nun gibt es Leute, die in die U-Bahn gehen und dann noch einen Burger essen. Und es gibt auch Leute, die nur ins Restaurant gehen wollen. Die Trese im McDonalds wird von der Wand getrennt, links von der Wand wird die Trese von den Leuten mit Ticket und rechts von denen ohne Ticket betreten.;
Warum verläuft quer durch Australien ein 5531 km langer Zaun?;Dieser Zaun verläuft von Nord nach Süd und trennt die (schaffressenden) Dingos von den Schafen. Der Zaun wurde vor um ca. 1900  errichtet und wird von den schafhütenden Rangers gewartet.;
Warum verlegt ein spanischer Arzt seine Sprechstunde einmal im Monat in eine Nobel-Disco in Barcelona?;Der Arzt implantiert den Besuchern einen Chip unter die Haut, der die Daten der betreffenden Personen gespeichert hat. So können sie ohne Kreditkarte oder Bargeld in die Disco gehen.;
Warum verlieren Löwenmännchen ihre Mähne fast nie in freier Wildbahn, sondern im Zoo?;Um Aggressionen zwischen den Löwenmännchen im Zoo zu vermeiden, werden alle Männchen bis auf eines kastriert. Ist ein Männchen kastriert, fehlen auch die Hormone, bei der die Mähne gebildet wird. Daher hat immer nur ein Männchen im Löwengehege eine Mähne.;
Warum verliert das Chinchilla regelmäßig und mit voller Absicht ganze Haarbüschel seines wertvollen Pelzes?;(Ein Chinchilla sieht aus wie eine Kreuzung aus Eichhörnchen und Fledermaus, wird bis zu 25 cm groß und lebt in Südamerika) Der Bussard ist ein Feind des Chinchillas. Greift ein Bussard ein Chinchilla an und packt es mit den Krallen am Pelz, verliert das Chinchilla einfach diese Haarbüschel, der Bussard hat dann nur noch Haare seiner Beute in den Krallen und das Chinchilla kann schnell abhauen.;
Warum verliert das Chinchilla regelmäßig und mit voller Absicht ganze Haarbüschel seines wertvollen Pelzes?;Wenn sie von ihrem natürlichen Feind dem Bussard angegriffen (gepackt) werden, werfen sie ihr Fell ab und können so fliehen.;
Warum verliert der männliche atlantische Stechrochen alljährlich seine Zähne?;(dieser Stechrochen lebt im tropischen Teil des Atlantik- von November bis März verliert das Männchen seine alten Zähne, die dann nachwachsen) Im November wird das Wasser im tropischen Teil des Atlantik wärmer. Das ist ein Zeichen für den Stechrochen, dass die Paarungszeit beginnt. Daher erneuert der männliche Stechrochen ab dieser Zeit seine Zähne, damit er sich, wie das bei der Paarung von Stechrochen üblich ist, am Rücken des Weibchens besser festbeißen kann.;
Warum verliert der männliche Kurzschnabeligel bis zu 20% seines Gewichts, bevor er sich mit einem Weibchen paart?;Wegen eines langandauernden, anstrengenden Paarungsrituals: Ein Weibchen legt eine Duftspur, der bis zu sieben Männchen  bis zu sechs Wochen lang folgen. Dann graben die Männchen einen Graben um das Weibchen herum und versuchen sich gegenseitig aus dem Graben herauszuwerfen – der Stärkste bleibt übrig und paart sich mit dem Weibchen (nachdem es bis zu 20% seines Gewichts verloren hat);
Warum verlor die Fußballmannschaft von Olympique l’Emyrne ihr Spiel gegen AS Adema im November 2002 mit 0:149 Toren (Erste Liga in Madagaskar)?;Der Trainer von Olympique l’Emyrine stritt sich mit dem Schiedsrichter- aus Protest schossen die Spieler dieser Mannschaft direkt nach dem Anstoß immer ins eigene Tor 149 Eigentore.;
Warum verpasst der amerikanische Geflügelzüchter Randy Wise seinen Hühnern rot gefärbte Kontaktlinsen?;Weil Hühner mit rot gefärbten Kontaktlinsen wesentlich mehr Eier legen. Man weiß nicht, warum das so ist, aber Hühner mit roten Kontaktlinsen sind deutlich weniger aggressiv, scheren sich nicht mehr um die Hackordnung, sondern konzentrieren sich ausschließlich aufs Eierlegen. Das Verfahren wird von amerikanischen Finanzmanagern so ernst genommen, dass in Wise’s Firma „Animalens“ bereits über eine Million Dollar investiert wurde. ;
Warum versalzen die Mensa-Köche der Uni Giessen in regelmäßigen Abständen absichtlich ein paar Gerichte?;(4500 Studenten werden dort täglich versorgt) Am Eingang der Mensa wird das Essen, das es an diesem Tag gibt, als Dekoration ausgestellt. Da Studenten ohne Geld oder neue Studenten dieses Gericht öfters geklaut haben, haben die Köche es so stark versalzen, dass es nicht mehr schmeckt. Wer dies weiß, klaut das Gericht sicher nicht.;
Warum verschenkte die belgische Kleinstadt Diest 6000 Hühner an seine Einwohner?;Anfang 2005 wurden die Biomülltonnen abgeschafft und jeder Haushalt bekam ein Huhn, das den Biomüll fressen soll (wenn man selbst keinen Platz für ein Huhn hat, gibt man es und den;
Warum verschließt die männliche Honigbiene nach dem Sex das Geschlechtsorgan der Königin mit einem Schleimpfropfen?;Damit die anderen männlichen Honigbienen danach auch schnell zur Königin finden. Denn diese Schleimpfropfen reflektieren ultraviolettes Licht und wirken so als Signal für eine andere Biene. Diese öffnet den Pfropfen und verschließt nach dem Sex die Geschlechtsöffnung der Königin wieder mit einem Pfropfen, damit die nächste Biene wieder zur Königin findet. Und so weiter. Dadurch muss die Bienenkönigin nicht so lange außerhalb des Bienenstockes bleiben und ist nicht so lange der Gefahr durch Fressfeinde oder Unwetter ausgesetzt.;
Warum versprühen viele Schweinezüchter absichtlich extrem übel riechende Luft in ihren Ställen?;Wenn Schweine in engen Ställen untergebracht sind, geraten sie in Stress. Stehen Schweine unter Stress, kommt es schonmal vor, dass sie sich gegenseitig die Ringelschwänze abbeißen. Der Bauer sprüht den Spray auf die Schwänze der Schweine und das stinkt dann so arg, dass sie sich nicht gegenseitig die Schwänze abbeißen. Das Spray heißt „Kannibalenspray“.;
Warum versprüht ein Mann einmal die Woche im Keller eines Mainzer Hauses 25 Liter Wein mit einer Gartenspritze?;Im Keller des Sektherstellers Kupferberg war mal eine Sektkellerei und ist nun ein Museum. Damit die Luftfeuchtigkeit erhalten bleibt und konstant zwischen 9 und 11 Grad Celsius herrscht, werden die Wände mit Wein bespritzt. Dadurch bildet sich an den Wänden der Pilz „Kellertuch“. Bei einer Sektlagerung bildet sich dieser Pilz von selber. Da der Keller aber nun ein Museum ist, muss der Pilz künstlich gezüchtet werden, damit im Museum der Pilz gezeigt werden kann.;
Warum verteilen Polizisten in der englischen Stadt Leicester nachts Lollis an Passanten?;Um damit die Gewaltbereitschaft der Nachtschwärmer zu senken, werden nachts an Wochenenden von Polizisten Lollis verteilt. Psychologische Studien haben ergeben dass Menschen weniger aggressiv sind wenn sie an ihre Kindheit erinnert werden.;
Warum verteilte eine holländische Versicherung im Mai 2007 in Rotterdam Pappbrillen mit Mini-Gucklöchern?;Zehn Tage vor dieser Verteilung ist im Rotterdamer Zoo das Gorillamännchen Bokito ausgebrochen und verletzte Personen. Angeblich mögen es Gorillas nicht, wenn Zoobesucher sie intensiv anglotzen. Schwere bauliche Veränderungen, wie zum Beispiel eine Holzwand mit Gucklöchern, wollte die Versicherung vermeiden. Daher verteilte sie Pappbrillen mit Mini-Gucklöchern. Auf den Pappbrillen sind Pupillen, die zur Seite schauen, aufgedruckt. So kann man den Gorilla durch die Gucklöcher in der Brille anschauen und der Gorilla denkt, man schaut zur Seite und nicht ihn an.;
Warum verteilten die Pfarrer von St. Marien (Freudenberg) am 12. und 13. Juni 2004 an jeden Gottesdienstbesucher 5 Euro?;In der Bibel gibt es das Gleichnis vom anvertrauten Geld, aus dem man mehr machen kann, wenn man es richtig anlegt. Dieses Gleichnis war das Vorbild für die Aktion der Pfarrer, die jeden beauftragten, diese 5 Euro bestmöglich zu vermehren, weil für die Renovierung der Kirche Geld gebraucht wurde.;
Warum verwandelt ein französischer Bürgermeister sein Rathaus alle drei Jahre für acht Tage in eine Kneipe?;(es handelt sich um eine Gemeinde im Elsass) Wenn man in Frankreich eine Kneipe oder ein Gasthaus eröffnen will, kann man nicht einfach eine Schanklizenz kaufen. Man muss jemandem eine Schanklizenz abkaufen, da keine neuen verkauft werden. Die Gemeindeverwaltung dieses Dorfes hatte die einzige Schanklizenz des Ortes gekauft, da diese niemand wollte. Um die Schanklizenz zu erhalten, muss man mindestens alle drei Jahre für acht Tage Getränke ausschenken. Daher wird das Rathaus alle drei Jahre für acht Tage in eine Kneipe verwandelt.;
Warum verzichtet die Kurstadt Aachen freiwillig auf das Prädikat „Bad“ in ihrem Namen?;Um bei alphabetischen Aufzählungen weit vorne zu sein (was bei „Bad Aachen nicht so wäre);
Warum wachsen auf dem Dach des DaimlerChrysler-Werks in Sindelfingen Tomaten?;Die Tomatenpflanzen reagieren auf Schadstoffe in der Luft und werden von der Umweltabteilung des Werks regelmäßig untersucht.;
Warum wachsen Fingernägel doppelt so schnell wie Fußnägel?;Der Blutkreislauf in den Füßen ist träger als in den Fingern. Dieser Umstand führt zu einer entsprechenden Verlangsamung des Fußnagel-Wachstums. Zudem wirkt da noch etwas wachstumsfördernd, was die Füße eher selten zu sehen kriegen: Sonnenlicht!;
Warum wachsen in den Anbaugebieten um Kapstadt in jedem Weinberg Rosenbüsche?;Die Schädlinge befallen zuerst die Rosenbüsche. Dann erst werden Pestizide eingesetzt, um sie von den Weinreben abzuhalten.;
Warum wälzen sich zahlreiche Vogelarten regelmäßig in Ameisenhaufen?;Die Dämpfe der Ameisensäure töten Parasiten ab → Körperpflege;
Warum wandte Heinz Schenk 1985 bei einer Ausgabe des „Blauen Bocks“ plötzlich der Kamera den Rücken zu?;Beim Singen des Begrüßungsliedes, fiel ihm die Oberkieferprothese heraus.;
Warum war das Wimbledon-Turnier 2001 ein wahrer Segen für die englischen Zwergmäuse?;Die Tennisbälle kamen einem Schutzprogramm für die vom Aussterben bedrohten Mäuse zugute. Die Tennisbälle wurden auf Stangen befestigt- in die Bälle bauten die Mäuse ihre Nester und waren somit sicher vor ihren natürlichen Feinden. Ihr Bestand hat sich seitdem stabilisiert.;
Warum war der ägyptische Präsident Nasser Schuld daran, dass der Mini-Cooper so ein erfolgreiches Auto wurde?;1956 verschärfte sich der Konflikt zwischen Ägypten und Israel so sehr, dass Nasser den Sueskanal sperren lies. Dadurch wurde die Ölversorgung für Europa erschwert. In Großbritannien wurde der zur Verfügung gestellte Sprit rationiert auf 40 Liter pro Monat. Daraufhin wurde der Spritsparende Mini-Cooper entwickelt und war erfolgreich, weil er so wenig verbraucht hat.;
Warum war der Harz im 19. Jahrhundert eine Hochburg für Kanarienvogelzüchter?;Die Züchter waren Bergleute. Sie benutzten die Kanarienvögel als lebende Alarmanlage unter Tage. Fallen die Kanarienvögel von der Stange, hiess das, dass der Sauerstoff knapp wurde. Daher gibt es in St. Andreasberg im Harz das weltweit einzige Kanarienvogelmuseum.;
Warum war der Kauf von ein paar Fahrkarten Auslöser für die Gründung der „Berliner Philharmoniker“?;Der Kapellmeister Benjamin Bilse des „Orchesters von Berlin“ kaufte seinen Musikern immer nur 4.Klasse-Fahrkarten. Nach einer Fahrt nach Warschau 1882 beschlossen 50 Musiker daraufhin die Gründung eines eigenen Orchesters.;
Warum war der Papst Schuld daran, daß die Musikgruppe „Queen“ 1982 zwei Konzerte in Manchester absagen mußte?;Der Papst war zum gleichen Zeitpunkt auch in Manchester und es gab zu wenige Dixi-Klos.;
Warum war die Entlassung von Toni Schumacher als Trainer von Fortuna Köln 1999 so besonders?;Er wurde in der Halbzeitpause entlassen.;
Warum war ein Konzert in Dresden Schuld, dass die Band danach ihren Namen in „Die Prinzen“ änderte?;Die Prinzen hießen früher „Die Herzbuben“. 1990 verließ nach einigen Minuten das halbe Publikum den Dresdner Kulturpalast, weil es die „Wildecker Herzbuben“ erwartet hatte.;
Warum war ein Schalke-Fan schuld daran, dass der Club sieben Jahre nach Stan Libudas Tod 3000€ zahlen musste?;2003 also sieben Jahre nach Reinhard (genannt Stan) Libudas Tod stand dieser Fan vor Libudas Grab und sah, dass dort statt „Reinhard“ (mit „EI“) „Rainhard“ (mit „AI“) auf dem Grabstein stand. Der Fan wandte sich daraufhin an Schalke 04. Peinlich berührt auf Grund des Fehlers gab der damalige Manager des Clubs einen neuen Grabstein für 3000€ in Auftrag.;
Warum war es bei jungen Frauen im 19. Jahrhundert Brauch, einen Schuh über die Schulter zu werfen?;Dies fand in der Andreas-Nacht zum 30. November statt. Damals war es üblich, dass Frauen, die noch nicht verheiratet waren, einen Schuh über die Schulter warfen. Zeigte die Spitze des Schuhs zum Haus, wurde im nächsten Jahr geheiratet. Zeigte der Absatz zum Haus, blieb man noch ein Jahr unverheiratet.;
Warum wäre der erste Überschallflug der Geschichte am 14. Oktober 1947 ohne einen Besen so nicht möglich gewesen?;Der Pilot brauchte ihn, um die Einstiegsluke des Flugzeugs zu schließen.;
Warum waren die Fans 2007 sehr erleichtert, nachdem sie das 1.Türchen des Schalke 04 – Adventskalenders geöffnet hatten?;Die Firma die diese Kalender herstellt hatte letztes Jahr einen Fehler gemacht: hinter allen Türchen des Schalke 04 – Adventskalenders waren Bilder von Spielern von Werder-Bremen. Beim diesjährigen Kalender war ein Bild der Schalke-Mannschaft vorne drauf und hinter den Türchen war nur Schokolade und keine Bilder von Spielern einer gegnerischen Mannschaft, sodass die Fans von Schalke dieses Jahr nach dem Öffnen des 1.Türchens erleichtert waren.;
Warum waren im Januar 2006 in Sevilla bei einem Erstligaspiel plötzlich alle Balljungen verschwunden?;(Das war am 14.01.2006 beim Meisterschaftsspiel Sevilla gegen Madrid, ab der 62. Minute waren alle Balljungen plötzlich verschwunden und die Spieler mussten ihre Bälle selber holen). Die Balljungen wurden vom Feld verwiesen. Sevilla führte 1:0. Um Zeit zu schinden, damit die Gegner weniger Zeit haben ein Tor zu schießen, ließen sich die Balljungen extrem viel Zeit den Ball zu holen. Daraufhin verwies der Schiedsrichter in der 62. Minute alle Balljungen vom Platz und die Spieler mussten ihre Bälle selber holen. Die Balljungen waren natürlich aus Sevilla.;
Warum waren im Sommer 2010 auf Moskaus Strassen viele Bürger mit blauen Plastikeimern unterwegs?;Eine Protestaktion gegen das Privileg von weit über tausend Privatpersonen mit Blaulicht fahren zu dürfen. (Was viele nutzen wenn sie mit ihren dicken Autos in einen Stau geraten). Aus Protest dagegen befestigten sich viele Moskauer an diesem Tag einen blauen Eimer auf ihr Auto (oder liefen auch so damit herum.);
